timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,mot_drv_mode,mot_pos,mot_vel
1757441940786715301,0,0,0,0,0,0,0,0,0
1757441940799592949,0,0,0,0,0,0,0,0,0
1757441940812799838,0,0,0,0,0,0,0,0,0
1757441940826056523,0,0,0,0,0,0,0,0,0
1757441940839306820,0,0,0,0,0,0,0,0,0
1757441940853656395,0,0,0,0,0,0,0,0,0
1757441940866778432,0,0,0,0,0,0,0,0,0
1757441940879941710,0,0,0,0,0,0,0,0,0
1757441940894002211,0,0,0,0,0,0,0,0,0
1757441940907266063,0,0,0,0,0,0,0,0,0
1757441940920218563,0,0,0,0,0,0,0,0,0
1757441940933175618,0,0,0,0,0,0,0,0,0
1757441940947023749,0,0,0,0,0,0,0,0,0
1757441940959968341,0,0,0,0,0,0,0,0,0
1757441940972945433,0,0,0,0,0,0,0,0,0
1757441940985909007,0,0,0,0,0,0,0,0,0
1757441940999680101,0,0,0,0,0,0,0,0,0
1757441941012731675,0,0,0,0,0,0,0,0,0
1757441941025784360,0,0,0,0,0,0,0,0,0
1757441941038833823,0,0,0,0,0,0,0,0,0
1757441941053145232,0,0,0,0,0,0,0,0,0
1757441941066932121,0,0,0,0,0,0,0,0,0
1757441941079911195,0,0,0,0,0,0,0,0,0
1757441941093603492,0,0,0,0,0,0,0,0,0
1757441941107002567,0,0,0,0,0,0,0,0,0
1757441941120622123,0,0,0,0,0,0,0,0,0
1757441941133677364,0,0,0,0,0,0,0,0,0
1757441941147288198,0,0,0,0,0,0,0,0,0
1757441941160530698,0,0,0,0,0,0,0,0,0
1757441941173648550,0,0,0,0,0,0,0,0,0
1757441941186861994,0,0,0,0,0,0,0,0,0
1757441941200767144,0,0,0,0,0,0,0,0,0
1757441941213868403,0,0,0,0,0,0,0,0,0
1757441941227155884,0,0,0,0,0,0,0,0,0
1757441941240760626,0,0,0,0,0,0,0,0,0
1757441941253779311,0,0,0,0,0,0,0,0,0
1757441941266887126,0,0,0,0,0,0,0,0,0
1757441941280183422,0,0,0,0,0,0,0,0,0
1757441941293776404,0,0,0,0,0,0,0,0,0
1757441941306860330,0,0,0,0,0,0,0,0,0
1757441941320187497,0,0,0,0,0,0,0,0,0
1757441941333164812,0,0,0,0,0,0,0,0,0
1757441941347030072,0,0,0,0,0,0,0,0,0
1757441941360182628,0,0,0,0,0,0,0,0,0
1757441941373346461,0,0,0,0,0,0,0,0,0
1757441941386382405,0,0,0,0,0,0,0,0,0
1757441941400181443,0,0,0,0,0,0,0,0,0
1757441941413247702,0,0,0,0,0,0,0,0,0
1757441941426361628,0,0,0,0,0,0,0,0,0
1757441941439428721,0,0,0,0,0,0,0,0,0
1757441941453244185,0,0,0,0,0,0,0,0,0
1757441941466432759,0,0,0,0,0,0,0,0,0
1757441941480475890,0,0,0,0,0,0,0,0,0
1757441941494259687,0,0,0,0,0,0,0,0,0
1757441941507321354,0,0,0,0,0,0,0,0,0
1757441941520301483,0,0,0,0,0,0,0,0,0
1757441941533339742,0,0,0,0,0,0,0,0,0
1757441941547226336,0,0,0,0,0,0,0,0,0
1757441941560500984,0,0,0,0,0,0,0,0,0
1757441941573588780,0,0,0,0,0,0,0,0,0
1757441941586568891,0,0,0,0,0,0,0,0,0
1757441941600475466,0,0,0,0,0,0,0,0,0
1757441941613484763,0,0,0,0,0,0,0,0,0
1757441941626717003,nan,nan,nan,nan,nan,nan,0,331.75,0.122795
1757441941640724060,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941654152116,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941667308190,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941680598876,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941694735285,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941707905099,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941721538008,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941734740471,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941748696138,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941761949602,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941775319065,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941788775473,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941803745364,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941817074846,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941830324050,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941844447088,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941857854774,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941871009422,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941884212681,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941898289423,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941911739831,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941924978646,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941938197202,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941952226111,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941965432240,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941978547666,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441941992587890,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942005832001,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942019096353,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942032310094,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942046382003,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942059545262,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942072782281,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942086022300,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942100081838,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942113344134,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942126545023,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942140002135,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942154095562,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942167610637,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942181101434,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942195267658,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942208630102,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942222018047,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942235249510,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942249438179,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942262768142,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942276207587,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942289634587,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942303652551,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942317360886,0,0,nan,nan,nan,nan,2,331.75,0.122795
1757441942330694053,0,0,nan,nan,nan,nan,2,331.75,0.122795
