timestamp,torso_pitch,torso_pitch_rate,wheel_pos,wheel_vel,wheel_torque,wheel_cmd_torque,mot_drv_mode
1767895968690606248,0,0,0,0,0,0,0
1767895968700702061,0,0,0,0,0,0,0
1767895968710827225,0,0,0,0,0,0,0
1767895968721238558,0,0,0,0,0,0,0
1767895968731400686,0,0,0,0,0,0,0
1767895968743186544,0,0,0,0,0,0,0
1767895968753466321,0,0,0,0,0,0,0
1767895968763425058,0,0,0,0,0,0,0
1767895968773802483,0,0,0,0,0,0,0
1767895968784279131,0,0,0,0,0,0,0
1767895968796487770,0,0,0,0,0,0,0
1767895968806879528,0,0,0,0,0,0,0
1767895968817157601,0,0,0,0,0,0,0
1767895968827425748,0,0,0,0,0,0,0
1767895968837559468,0,0,0,0,0,0,0
1767895968849086362,0,0,0,0,0,0,0
1767895968859428954,0,0,0,0,0,0,0
1767895968869565174,0,0,0,0,0,0,0
1767895968879934173,0,0,0,0,0,0,0
1767895968890177727,0,0,0,0,0,0,0
1767895968901759288,0,0,0,0,0,0,0
1767895968912009898,0,0,0,0,0,0,0
1767895968922196137,0,0,0,0,0,0,0
1767895968932606710,0,0,0,0,0,0,0
1767895968944487588,0,0,0,0,0,0,0
1767895968955042440,0,0,0,0,0,0,0
1767895968965350809,0,0,0,0,0,0,0
1767895968975657419,0,0,0,0,0,0,0
1767895968986017973,0,0,0,0,0,0,0
1767895968997578312,0,0,0,0,0,0,0
1767895969007912163,0,0,0,0,0,0,0
1767895969018179143,0,0,0,0,0,0,0
1767895969028674791,0,0,0,0,0,0,0
1767895969038810085,0,0,0,0,0,0,0
1767895969050166089,0,0,0,0,0,0,0
1767895969060674682,0,0,0,0,0,0,0
1767895969070893625,0,0,0,0,0,0,0
1767895969081221309,0,0,0,0,0,0,0
1767895969092830666,0,0,0,0,0,0,0
1767895969103527371,0,0,0,0,0,0,0
1767895969113422793,0,0,0,0,0,0,0
1767895969124157072,0,0,0,0,0,0,0
1767895969134098106,0,0,0,0,0,0,0
1767895969146040780,0,0,0,0,0,0,0
1767895969157036541,0,0,0,0,0,0,0
1767895969167337096,0,0,0,0,0,0,0
1767895969177769688,0,0,0,0,0,0,0
1767895969188072927,0,0,0,0,0,0,0
1767895969199596507,0,0,0,0,0,0,0
1767895969209858042,0,0,0,0,0,0,0
1767895969220122244,0,0,0,0,0,0,0
1767895969230360446,0,0,0,0,0,0,0
1767895969241875322,0,0,0,0,0,0,0
1767895969252127024,0,0,0,0,0,0,0
1767895969262504486,0,0,0,0,0,0,0
1767895969272775263,0,0,0,0,0,0,0
1767895969283012687,0,0,0,0,0,0,0
1767895969294456821,0,0,0,0,0,0,0
1767895969304719264,0,0,0,0,0,0,0
1767895969314930966,0,0,0,0,0,0,0
1767895969325225539,0,0,0,0,0,0,0
1767895969335492093,0,0,0,0,0,0,0
1767895969346960987,0,0,0,0,0,0,0
1767895969357387338,0,0,0,0,0,0,0
1767895969367755208,0,0,0,0,0,0,0
1767895969378057410,0,0,0,0,0,0,0
1767895969389483655,0,0,0,0,0,0,0
1767895969400972827,0,0,0,0,0,0,0
1767895969414126211,0,0,0,0,0,0,0
1767895969424558711,0,0,0,0,0,0,0
1767895969434850839,0,0,0,0,0,0,0
1767895969446264918,0,0,0,0,0,0,0
1767895969456442953,0,0,0,0,0,0,0
1767895969466748803,0,0,0,0,0,0,0
1767895969477009172,0,0,0,0,0,0,0
1767895969487216189,0,0,0,0,0,0,0
1767895969498602101,0,0,0,0,0,0,0
1767895969508806525,0,0,0,0,0,0,0
1767895969519038431,0,0,0,0,0,0,0
1767895969529282837,0,0,0,0,0,0,0
1767895969539572891,0,0,0,0,0,0,0
1767895969551416935,0,0,0,0,0,0,0
1767895969561389154,0,0,0,0,0,0,0
1767895969571697875,0,0,0,0,0,0,0
1767895969581944447,0,0,0,0,0,0,0
1767895969593401249,0,0,0,0,0,0,0
1767895969603626228,0,0,0,0,0,0,0
1767895969614010098,0,0,0,0,0,0,0
1767895969624288708,0,0,0,0,0,nan,0
1767895969634827152,nan,nan,nan,nan,nan,nan,0
1767895969646755937,nan,nan,nan,nan,nan,nan,0
1767895969657206826,0,0,nan,nan,nan,nan,0
1767895969667667103,0,0,nan,nan,nan,nan,0
1767895969678093399,0,0,nan,nan,nan,nan,0
1767895969688532528,0,0,nan,nan,nan,nan,0
1767895969700337201,0,0,nan,nan,nan,nan,0
1767895969710781330,0,0,nan,nan,nan,nan,0
1767895969721314015,0,0,nan,nan,nan,nan,0
1767895969731852552,0,0,nan,nan,nan,nan,0
1767895969743637337,0,0,nan,nan,nan,nan,0
1767895969754143207,0,0,nan,nan,nan,nan,0
1767895969764902449,0,0,nan,nan,nan,nan,0
1767895969775451356,0,0,nan,nan,nan,nan,0
1767895969785902282,0,0,nan,nan,nan,nan,0
1767895969797668029,0,0,nan,nan,nan,nan,0
